feature,iv
loan_amnt,0.048343591
funded_amnt,0.048343591
funded_amnt_inv,0.049004257
term,0.065249599
int_rate,0.39920925
installment,0.059926298
grade,0.395773057
sub_grade,0.398364798
emp_length,0.028347457
annual_inc,0.022686658
verification_status,0.093395596
purpose,0.013486322
title,0.013550172
zip_code,0.108738017
addr_state,0.026938752
dti,0.074499686
earliest_cr_line,0.076897841
mths_since_last_delinq,0.008097458
open_acc,0.000539957
revol_bal,0.011928566
revol_util,0.101300389
total_pymnt,1.981921189
total_pymnt_inv,1.995859382
total_rec_prncp,4.360532224
total_rec_int,0.160672528
last_pymnt_d,0.152708933
last_pymnt_amnt,5.933472711
last_credit_pull_d,0.478865648
tot_cur_bal,0.051694922
mths_since_rcnt_il,0.00739647
max_bal_bc,8.95E-05
all_util,0.066437666
total_rev_hi_lim,0.020784925
avg_cur_bal,0.038892286
bc_open_to_buy,0.08457262
bc_util,0.094682861
mo_sin_old_il_acct,0.020653811
mo_sin_old_rev_tl_op,0.020960378
mo_sin_rcnt_rev_tl_op,0.009928992
mort_acc,0.056551963
mths_since_recent_inq,0.023428806
num_actv_bc_tl,0.021239197
num_actv_rev_tl,0.046566737
num_il_tl,0.011471505
num_rev_tl_bal_gt_0,0.043762641
percent_bc_gt_75,0.088329798
tot_hi_cred_lim,0.059617601
total_bal_ex_mort,0.002176031
total_bc_limit,0.030376537
total_il_high_credit_limit,0.003352539
